Series Id,Year,Period,Value
CUUR0000SA0L1E,2011,M10,226.743
CUUR0000SA0L1E,2011,M11,226.859
CUUR0000SA0L1E,2011,M12,226.74
CUUS0000SA0L1E,2011,S01,223.737
CUUS0000SA0L1E,2011,S02,226.278
CUUR0000SA0L1E,2012,M01,227.237
CUUR0000SA0L1E,2012,M02,227.865
CUUR0000SA0L1E,2012,M03,228.735
CUUR0000SA0L1E,2012,M04,229.303
CUUR0000SA0L1E,2012,M05,229.602
CUUR0000SA0L1E,2012,M06,229.879
CUUR0000SA0L1E,2012,M07,229.893
CUUR0000SA0L1E,2012,M08,230.196
CUUR0000SA0L1E,2012,M09,230.78
CUUR0000SA0L1E,2012,M10,231.276
CUUR0000SA0L1E,2012,M11,231.263
CUUR0000SA0L1E,2012,M12,231.033
CUUS0000SA0L1E,2012,S01,228.77
CUUS0000SA0L1E,2012,S02,230.74
CUUR0000SA0L1E,2013,M01,231.612
CUUR0000SA0L1E,2013,M02,232.432
CUUR0000SA0L1E,2013,M03,233.052
CUUR0000SA0L1E,2013,M04,233.236
CUUR0000SA0L1E,2013,M05,233.462
CUUR0000SA0L1E,2013,M06,233.64
CUUR0000SA0L1E,2013,M07,233.792
CUUR0000SA0L1E,2013,M08,234.258
CUUR0000SA0L1E,2013,M09,234.782
CUUR0000SA0L1E,2013,M10,235.162
CUUR0000SA0L1E,2013,M11,235.243
CUUR0000SA0L1E,2013,M12,235
CUUS0000SA0L1E,2013,S01,232.906
CUUS0000SA0L1E,2013,S02,234.706
CUUR0000SA0L1E,2014,M01,235.367
CUUR0000SA0L1E,2014,M02,236.075
CUUR0000SA0L1E,2014,M03,236.913
CUUR0000SA0L1E,2014,M04,237.509
CUUR0000SA0L1E,2014,M05,238.029
CUUR0000SA0L1E,2014,M06,238.157
CUUR0000SA0L1E,2014,M07,238.138
CUUR0000SA0L1E,2014,M08,238.296
CUUR0000SA0L1E,2014,M09,238.841
CUUR0000SA0L1E,2014,M10,239.413
CUUR0000SA0L1E,2014,M11,239.248
CUUR0000SA0L1E,2014,M12,238.775
CUUS0000SA0L1E,2014,S01,237.008
CUUS0000SA0L1E,2014,S02,238.785
CUUR0000SA0L1E,2015,M01,239.248
CUUR0000SA0L1E,2015,M02,240.083
CUUR0000SA0L1E,2015,M03,241.067
CUUR0000SA0L1E,2015,M04,241.802
CUUR0000SA0L1E,2015,M05,242.119
CUUR0000SA0L1E,2015,M06,242.354
CUUR0000SA0L1E,2015,M07,242.436
CUUR0000SA0L1E,2015,M08,242.651
CUUR0000SA0L1E,2015,M09,243.359
CUUR0000SA0L1E,2015,M10,243.985
CUUR0000SA0L1E,2015,M11,244.075
CUUR0000SA0L1E,2015,M12,243.779
CUUS0000SA0L1E,2015,S01,241.112
CUUS0000SA0L1E,2015,S02,243.381
CUUR0000SA0L1E,2016,M01,244.528
